Alpha,Beta,SumResidualSquare,Method
0.276,1.0E-11,13105.949734063464,4thOrderRungeKutta
0.306,1.0E-11,9239.586465539915,4thOrderRungeKutta
0.28700000000000003,1.0E-11,11509.032882376425,4thOrderRungeKutta
0.224,1.0E-11,24889.837042109335,4thOrderRungeKutta
0.325,1.0E-11,7466.8276479824835,4thOrderRungeKutta
0.247,1.0E-11,18635.899832803774,4thOrderRungeKutta
0.225,1.0E-11,24573.71710718113,4thOrderRungeKutta
0.277,1.0E-11,12950.99106895445,4thOrderRungeKutta
0.326,1.0E-11,7385.060646141946,4thOrderRungeKutta
0.23700000000000002,1.0E-11,21109.878194457586,4thOrderRungeKutta
0.257,1.0E-11,16479.88830134015,4thOrderRungeKutta
0.226,1.0E-11,24262.07242952089,4thOrderRungeKutta
0.34400000000000003,1.0E-11,6080.670579192911,4thOrderRungeKutta
0.327,1.0E-11,7304.344778564237,4thOrderRungeKutta
0.293,1.0E-11,10730.6453680995,4thOrderRungeKutta
0.278,1.0E-11,12798.07293113215,4thOrderRungeKutta
0.227,1.0E-11,23954.831782938018,4thOrderRungeKutta
0.307,1.0E-11,9135.001344788325,4thOrderRungeKutta
0.316,1.0E-11,8252.35588228611,4thOrderRungeKutta
0.328,1.0E-11,7224.666574956355,4thOrderRungeKutta
0.228,1.0E-11,23651.925248760723,4thOrderRungeKutta
0.265,1.0E-11,14953.89898474897,4thOrderRungeKutta
0.308,1.0E-11,9031.765425664926,4thOrderRungeKutta
0.317,1.0E-11,8160.488416078524,4thOrderRungeKutta
0.336,1.0E-11,6623.043729561715,4thOrderRungeKutta
0.279,1.0E-11,12647.166528611588,4thOrderRungeKutta
0.329,1.0E-11,7146.012761368345,4thOrderRungeKutta
0.356,1.0E-11,5365.944893919074,4thOrderRungeKutta
0.309,1.0E-11,8929.860796951349,4thOrderRungeKutta
0.318,1.0E-11,8069.802721965817,4thOrderRungeKutta
0.248,1.0E-11,18406.785047737463,4thOrderRungeKutta
0.229,1.0E-11,23353.28418864573,4thOrderRungeKutta
0.266,1.0E-11,14774.451557420287,4thOrderRungeKutta
0.216,1.0E-11,27588.90708198794,4thOrderRungeKutta
0.33,1.0E-11,7068.370256938942,4thOrderRungeKutta
0.28,1.0E-11,12498.243536193158,4thOrderRungeKutta
0.20700000000000002,1.0E-11,31024.547927291154,4thOrderRungeKutta
0.31,1.0E-11,8829.269819151974,4thOrderRungeKutta
0.319,1.0E-11,7980.283405174026,4thOrderRungeKutta
0.249,1.0E-11,18180.795030869704,4thOrderRungeKutta
0.28800000000000003,1.0E-11,11375.010716102499,4thOrderRungeKutta
0.32,1.0E-11,7891.915299567322,4thOrderRungeKutta
0.23,1.0E-11,23058.841218010737,4thOrderRungeKutta
0.267,1.0E-11,14597.394831421181,4thOrderRungeKutta
0.25,1.0E-11,17957.882734634084,4thOrderRungeKutta
0.294,1.0E-11,10606.757925083395,4thOrderRungeKutta
0.23800000000000002,1.0E-11,20846.73625051034,4thOrderRungeKutta
0.34500000000000003,1.0E-11,6016.750007140907,4thOrderRungeKutta
0.231,1.0E-11,22768.530180080736,4thOrderRungeKutta
0.268,1.0E-11,14422.694256444243,4thOrderRungeKutta
0.258,1.0E-11,16279.998731725318,4thOrderRungeKutta
0.232,1.0E-11,22482.286120531608,4thOrderRungeKutta
0.269,1.0E-11,14250.31585670724,4thOrderRungeKutta
0.337,1.0E-11,6552.129687361478,4thOrderRungeKutta
0.357,1.0E-11,5311.288851147186,4thOrderRungeKutta
0.233,1.0E-11,22200.045262719188,4thOrderRungeKutta
0.27,1.0E-11,14080.226220086024,4thOrderRungeKutta
0.20800000000000002,1.0E-11,30620.038176866365,4thOrderRungeKutta
0.217,1.0E-11,27234.25454277183,4thOrderRungeKutta
0.295,1.0E-11,10484.479571090584,4thOrderRungeKutta
0.28900000000000003,1.0E-11,11242.736674266172,4thOrderRungeKutta
0.234,1.0E-11,21921.74498346766,4thOrderRungeKutta
0.34600000000000003,1.0E-11,5953.655272084158,4thOrderRungeKutta
0.23500000000000001,1.0E-11,21647.323789422426,4thOrderRungeKutta
0.23900000000000002,1.0E-11,20587.238262061626,4thOrderRungeKutta
0.259,1.0E-11,16082.798333055007,4thOrderRungeKutta
0.23600000000000002,1.0E-11,21376.72129393096,4thOrderRungeKutta
0.338,1.0E-11,6482.128886873346,4thOrderRungeKutta
0.23700000000000002,1.0E-11,21109.878194457586,4thOrderRungeKutta
0.358,1.0E-11,5257.344730738858,4thOrderRungeKutta
0.20900000000000002,1.0E-11,30221.444334859687,4thOrderRungeKutta
0.218,1.0E-11,26884.697625201712,4thOrderRungeKutta
0.296,1.0E-11,10363.788390003887,4thOrderRungeKutta
0.29000000000000004,1.0E-11,11112.18665387057,4thOrderRungeKutta
0.23800000000000002,1.0E-11,20846.73625051034,4thOrderRungeKutta
0.34700000000000003,1.0E-11,5891.376131250513,4thOrderRungeKutta
0.24000000000000002,1.0E-11,20331.32804846562,4thOrderRungeKutta
0.26,1.0E-11,15888.247538197418,4thOrderRungeKutta
0.339,1.0E-11,6413.029847959044,4thOrderRungeKutta
0.359,1.0E-11,5204.103871459265,4thOrderRungeKutta
0.21000000000000002,1.0E-11,29828.668090689913,4thOrderRungeKutta
0.297,1.0E-11,10244.662807721177,4thOrderRungeKutta
0.219,1.0E-11,26540.15358289588,4thOrderRungeKutta
0.34800000000000003,1.0E-11,5829.902485557034,4thOrderRungeKutta
0.34,1.0E-11,6344.821254113807,4thOrderRungeKutta
0.36,1.0E-11,5151.557730777979,4thOrderRungeKutta
0.298,1.0E-11,10127.081586080867,4thOrderRungeKutta
0.22,1.0E-11,26200.54121923463,4thOrderRungeKutta
0.34900000000000003,1.0E-11,5769.224377320961,4thOrderRungeKutta
0.299,1.0E-11,10011.023816902154,4thOrderRungeKutta
0.35000000000000003,1.0E-11,5709.331988002656,4thOrderRungeKutta
0.3,1.0E-11,9896.468916146141,4thOrderRungeKutta
0.329,2.0E-11,7055.596608619918,4thOrderRungeKutta
0.20900000000000002,2.0E-11,29732.97824352608,4thOrderRungeKutta
0.219,2.0E-11,26120.971832529496,4thOrderRungeKutta
0.21000000000000002,2.0E-11,29347.690784694205,4thOrderRungeKutta
0.309,2.0E-11,8811.762988316652,4thOrderRungeKutta
0.22,2.0E-11,25787.647651782278,4thOrderRungeKutta
0.259,2.0E-11,15848.73035592472,4thOrderRungeKutta
0.319,2.0E-11,7876.9671797220235,4thOrderRungeKutta
0.34900000000000003,2.0E-11,5699.99620232629,4thOrderRungeKutta
0.269,2.0E-11,14046.791577331152,4thOrderRungeKutta
0.32,2.0E-11,7789.968936463551,4thOrderRungeKutta
0.26,2.0E-11,15657.449976075293,4thOrderRungeKutta
0.359,2.0E-11,5143.579822362142,4thOrderRungeKutta
0.27,2.0E-11,13879.507375379912,4thOrderRungeKutta
0.339,2.0E-11,6333.901105307354,4thOrderRungeKutta
0.31,2.0E-11,8712.743534148229,4thOrderRungeKutta
0.34,2.0E-11,6266.741579235382,4thOrderRungeKutta
0.299,2.0E-11,9875.941571127154,4thOrderRungeKutta
0.33,2.0E-11,6979.151379445941,4thOrderRungeKutta
0.3,2.0E-11,9763.19466800477,4thOrderRungeKutta
0.219,3.0E-11,25709.920811765853,4thOrderRungeKutta
0.23900000000000002,2.0E-11,20275.64042152072,4thOrderRungeKutta
0.279,2.0E-11,12469.884929641566,4thOrderRungeKutta
0.249,2.0E-11,17911.045328461063,4thOrderRungeKutta
0.36,2.0E-11,5091.844718362603,4thOrderRungeKutta
0.22,3.0E-11,25382.73864683255,4thOrderRungeKutta
0.28900000000000003,2.0E-11,11088.081460197847,4thOrderRungeKutta
0.319,3.0E-11,7775.301088427161,4thOrderRungeKutta
0.35000000000000003,2.0E-11,5641.0251955374215,4thOrderRungeKutta
0.20900000000000002,3.0E-11,29254.289522040017,4thOrderRungeKutta
0.25,2.0E-11,17691.960016638655,4thOrderRungeKutta
0.259,3.0E-11,15618.753037818955,4thOrderRungeKutta
0.28,2.0E-11,12323.37715433464,4thOrderRungeKutta
0.29000000000000004,2.0E-11,10959.617770714305,4thOrderRungeKutta
0.32,3.0E-11,7689.6495718211745,4thOrderRungeKutta
0.26,3.0E-11,15430.677194660397,4thOrderRungeKutta
0.21000000000000002,3.0E-11,28876.309772498527,4thOrderRungeKutta
0.24000000000000002,2.0E-11,20024.226546420465,4thOrderRungeKutta
0.23700000000000002,2.0E-11,20789.063910990535,4thOrderRungeKutta
0.23800000000000002,2.0E-11,20530.567956420018,4thOrderRungeKutta
0.269,3.0E-11,13846.751391719177,4thOrderRungeKutta
0.339,3.0E-11,6256.023162024249,4thOrderRungeKutta
0.27,3.0E-11,13682.2179150927,4thOrderRungeKutta
0.34,3.0E-11,6189.895842799301,4thOrderRungeKutta
0.299,3.0E-11,9743.061934802248,4thOrderRungeKutta
0.3,3.0E-11,9632.090799570324,4thOrderRungeKutta
0.20900000000000002,4.0E-11,28785.13015920229,4thOrderRungeKutta
0.319,4.0E-11,7675.256249335829,4thOrderRungeKutta
0.249,3.0E-11,17646.118778469267,4thOrderRungeKutta
0.21000000000000002,4.0E-11,28414.28264549428,4thOrderRungeKutta
0.219,4.0E-11,25306.802528852622,4thOrderRungeKutta
0.28900000000000003,3.0E-11,10935.983422997304,4thOrderRungeKutta
0.279,3.0E-11,12295.582621369056,4thOrderRungeKutta
0.259,4.0E-11,15392.780483567836,4thOrderRungeKutta
0.309,3.0E-11,8695.56867716726,4thOrderRungeKutta
0.32,4.0E-11,7590.928804412871,4thOrderRungeKutta
0.25,3.0E-11,17430.780717422607,4thOrderRungeKutta
0.22,4.0E-11,24985.620547205093,4thOrderRungeKutta
0.29000000000000004,3.0E-11,10809.567789025488,4thOrderRungeKutta
0.329,3.0E-11,6966.615141808837,4thOrderRungeKutta
0.26,4.0E-11,15207.844969950494,4thOrderRungeKutta
0.28,3.0E-11,12151.444408151714,4thOrderRungeKutta
0.31,3.0E-11,8598.093494085306,4thOrderRungeKutta
0.33,3.0E-11,6891.3474727325065,4thOrderRungeKutta
0.34900000000000003,3.0E-11,5631.861323966384,4thOrderRungeKutta
0.359,3.0E-11,5084.01371180003,4thOrderRungeKutta
0.23900000000000002,3.0E-11,19969.754963991843,4thOrderRungeKutta
