Time,Temp,Method
2400,314.81654508093106,2ndOrderRungeKutta
2460,314.99155459234044,2ndOrderRungeKutta
2520,315.15883698504695,2ndOrderRungeKutta
2580,315.3187334311558,2ndOrderRungeKutta
2640,315.471570039149,2ndOrderRungeKutta
2700,315.6176585189828,2ndOrderRungeKutta
2760,315.75729681781957,2ndOrderRungeKutta
2820,315.8907697276903,2ndOrderRungeKutta
2880,316.01834946632783,2ndOrderRungeKutta
2940,316.14029623235376,2ndOrderRungeKutta
3000,316.2568587359535,2ndOrderRungeKutta
3060,316.36827470611985,2ndOrderRungeKutta
3120,316.4747713755011,2ndOrderRungeKutta
3180,316.5765659438415,2ndOrderRungeKutta
3240,316.6738660209594,2ndOrderRungeKutta
3300,316.7668700501675,2ndOrderRungeKutta
3360,316.85576771299725,2ndOrderRungeKutta
3420,316.9407403160542,2ndOrderRungeKutta
3480,317.0219611607923,2ndOrderRungeKutta
3540,317.09959589696183,2ndOrderRungeKutta
3600,317.17380286045193,2ndOrderRungeKutta
3660,317.2447333962162,2ndOrderRungeKutta
0,294.65,4thOrderRungeKutta
60,295.4103710169285,4thOrderRungeKutta
120,296.1467819372951,4thOrderRungeKutta
180,296.85998776913465,4thOrderRungeKutta
240,297.5507197293787,4thOrderRungeKutta
300,298.21968599353846,4thOrderRungeKutta
360,298.86757242176407,4thOrderRungeKutta
420,299.4950432620256,4thOrderRungeKutta
480,300.10274183113563,4thOrderRungeKutta
540,300.69129117431225,4thOrderRungeKutta
600,301.26129470395836,4thOrderRungeKutta
660,301.8133368183126,4thOrderRungeKutta
720,302.34798350060584,4thOrderRungeKutta
780,302.86578289933743,4thOrderRungeKutta
840,303.36726589026665,4thOrderRungeKutta
900,303.85294662069504,4thOrderRungeKutta
960,304.3233230365977,4thOrderRungeKutta
1020,304.7788773931444,4thOrderRungeKutta
1080,305.2200767491334,4thOrderRungeKutta
1140,305.6473734458453,4thOrderRungeKutta
1200,306.06120557080754,4thOrderRungeKutta
1260,306.46199740694533,4thOrderRungeKutta
1320,306.8501598675792,4thOrderRungeKutta
1380,307.2260909177155,4thOrderRungeKutta
1440,307.59017598206157,4thOrderRungeKutta
1500,307.9427883401836,4thOrderRungeKutta
1560,308.2842895092131,4thOrderRungeKutta
1620,308.61502961449384,4thOrderRungeKutta
1680,308.9353477485487,4thOrderRungeKutta
1740,309.24557231873587,4thOrderRungeKutta
1800,309.5460213839497,4thOrderRungeKutta
1860,309.83700298071176,4thOrderRungeKutta
1920,310.1188154389862,4thOrderRungeKutta
1980,310.391747688044,4thOrderRungeKutta
2040,310.65607955268854,4thOrderRungeKutta
2100,310.91208204014714,4thOrderRungeKutta
2160,311.1600176179221,4thOrderRungeKutta
2220,311.4001404828867,4thOrderRungeKutta
2280,311.6326968219012,4thOrderRungeKutta
2340,311.8579250642171,4thOrderRungeKutta
2400,312.0760561259275,4thOrderRungeKutta
2460,312.2873136467146,4thOrderRungeKutta
2520,312.4919142191373,4thOrderRungeKutta
2580,312.6900676106934,4thOrderRungeKutta
2640,312.8819769788845,4thOrderRungeKutta
2700,313.0678390795041,4thOrderRungeKutta
2760,313.2478444683621,4thOrderRungeKutta
2820,313.4221776966528,4thOrderRungeKutta
2880,313.5910175001669,4thOrderRungeKutta
2940,313.75453698254097,4thOrderRungeKutta
3000,313.9129037927323,4thOrderRungeKutta
3060,314.06628029690216,4thOrderRungeKutta
3120,314.21482374488176,4thOrderRungeKutta
3180,314.3586864313936,4thOrderRungeKutta
3240,314.4980158521921,4thOrderRungeKutta
3300,314.6329548552841,4thOrderRungeKutta
3360,314.7636417873843,4thOrderRungeKutta
3420,314.8902106357559,4thOrderRungeKutta
3480,315.0127911655815,4thOrderRungeKutta
3540,315.1315090530051,4thOrderRungeKutta
3600,315.2464860139823,4thOrderRungeKutta
3660,315.35783992906994,4thOrderRungeKutta
